Lead_ID,Name,Email_Source,Contacted,Engagement_Score,Location,Profession,Course_Interest,Follow_Up_Count,Converted
L0789,Diya Bansal,Walk-in,Yes,2,Ahmedabad,Working Professional,AI & Deep Learning,5,1
L0790,Vihaan Iyer,Website,Yes,35,Bangalore,Freelancer,AI & Deep Learning,3,0
L0791,Isha Mehta,Walk-in,Yes,37,Delhi,Working Professional,Data Science - Advanced,3,0
L0792,Aarav Singh,Email,Yes,80,Kolkata,Student,Machine Learning,4,1
L0793,Aditya Sharma,Referral,Yes,42,Chennai,Freelancer,Data Science - Advanced,5,1
L0794,Isha Nair,Email,Yes,13,Ahmedabad,Student,Data Science - Beginner,2,0
L0795,Riya Joshi,Walk-in,Yes,1,Bangalore,Freelancer,AI & Deep Learning,2,1
L0796,Diya Gupta,Walk-in,Yes,75,Pune,Working Professional,Data Science - Advanced,4,1
L0797,Ananya Pillai,Website,Yes,41,Ahmedabad,Working Professional,Data Science - Advanced,2,0
L0798,Ananya Verma,Website,No,36,Hyderabad,Working Professional,Machine Learning,2,1
L0799,Aarohi Choudhary,Referral,Yes,41,Kolkata,Student,AI & Deep Learning,0,0
L0800,Arjun Verma,Website,Yes,5,Kolkata,Working Professional,Data Science - Advanced,5,1
L0801,Isha Reddy,Referral,Yes,57,Hyderabad,Freelancer,AI & Deep Learning,3,1
L0802,Vihaan Gupta,Social Media,No,12,Delhi,Working Professional,Data Science - Advanced,1,1
L0803,Shruti Chopra,Website,Yes,68,Jaipur,Student,AI & Deep Learning,0,0
L0804,Riya Reddy,Email,Yes,37,Mumbai,Working Professional,Machine Learning,4,0
L0805,Ananya Gupta,Social Media,Yes,59,Kolkata,Working Professional,Machine Learning,4,0
L0806,Ananya Verma,Walk-in,No,42,Jaipur,Student,Data Science - Advanced,0,1
L0807,Ananya Verma,Social Media,No,12,Chennai,Working Professional,Data Science - Advanced,1,1
L0808,Aditya Sharma,Website,Yes,50,Chennai,Working Professional,Data Science - Advanced,0,1
L0809,Riya Das,Email,Yes,46,Mumbai,Working Professional,Data Science - Advanced,3,1
L0810,Aanya Saxena,Email,No,12,Chennai,Working Professional,Data Science - Advanced,3,1
L0811,Aditya Verma,Walk-in,No,60,Delhi,Freelancer,Data Science - Advanced,3,0
L0812,Kunal Pillai,Referral,Yes,62,Bangalore,Student,Data Science - Advanced,5,1
L0813,Krishna Kulkarni,Referral,No,73,Nagpur,Freelancer,Data Science - Beginner,0,0
L0814,Aarohi Das,Referral,Yes,60,Jaipur,Working Professional,Machine Learning,2,0
L0815,Aarohi Sharma,Social Media,No,23,Pune,Working Professional,Data Science - Beginner,0,1
L0816,Kunal Choudhary,Walk-in,No,97,Kolkata,Freelancer,Machine Learning,2,0
L0817,Ishaan Bansal,Social Media,No,87,Mumbai,Working Professional,Data Science - Beginner,0,1
L0818,Vihaan Sharma,Website,No,59,Chennai,Freelancer,AI & Deep Learning,2,1
L0819,Aanya Singh,Social Media,Yes,18,Nagpur,Student,Data Science - Beginner,0,0
L0820,Aarav Mehta,Referral,Yes,84,Delhi,Working Professional,Data Science - Advanced,0,1
L0821,Saanvi Gupta,Referral,No,3,Mumbai,Student,Data Science - Advanced,5,1
L0822,Riya Saxena,Social Media,No,75,Delhi,Student,Machine Learning,4,1
L0823,Vivaan Choudhary,Social Media,Yes,81,Chennai,Working Professional,AI & Deep Learning,5,1
L0824,Vivaan Saxena,Referral,No,66,Jaipur,Freelancer,AI & Deep Learning,1,0
L0825,Aarohi Sharma,Referral,No,71,Mumbai,Working Professional,AI & Deep Learning,3,0
L0826,Riya Nair,Email,No,90,Chennai,Student,Data Science - Advanced,2,0
L0827,Riya Joshi,Referral,Yes,65,Delhi,Freelancer,Machine Learning,4,1
L0828,Arjun Singh,Referral,No,87,Hyderabad,Working Professional,Data Science - Advanced,4,0
L0829,Kunal Patel,Referral,Yes,23,Delhi,Student,AI & Deep Learning,0,1
L0830,Riya Singh,Website,Yes,72,Nagpur,Student,Machine Learning,2,1
L0831,Sai Bansal,Walk-in,Yes,9,Hyderabad,Working Professional,Data Science - Beginner,4,0
L0832,Vihaan Shetty,Website,No,34,Hyderabad,Working Professional,Data Science - Beginner,4,1
L0833,Arjun Kulkarni,Walk-in,Yes,91,Nagpur,Working Professional,AI & Deep Learning,0,0
L0834,Kavya Nair,Social Media,Yes,65,Mumbai,Student,Data Science - Beginner,1,1
L0835,Sai Singh,Referral,No,94,Mumbai,Student,Machine Learning,2,0
L0836,Vihaan Mehta,Referral,No,99,Nagpur,Student,AI & Deep Learning,2,1
L0837,Aarohi Bansal,Social Media,No,48,Chennai,Working Professional,Data Science - Advanced,1,1
L0838,Krishna Gupta,Referral,No,53,Kolkata,Freelancer,Machine Learning,0,1
L0839,Arjun Sharma,Walk-in,Yes,11,Hyderabad,Working Professional,AI & Deep Learning,1,1
L0840,Vivaan Naidu,Social Media,Yes,74,Nagpur,Freelancer,Machine Learning,3,1
L0841,Meera Singh,Email,No,2,Bangalore,Freelancer,Data Science - Advanced,5,1
L0842,Saanvi Mehta,Walk-in,No,90,Hyderabad,Freelancer,AI & Deep Learning,1,1
L0843,Aditya Verma,Walk-in,No,50,Pune,Freelancer,Machine Learning,1,0
L0844,Aarohi Shetty,Email,No,97,Pune,Student,Data Science - Beginner,4,1
L0845,Krishna Singh,Referral,Yes,94,Nagpur,Working Professional,Machine Learning,5,1
L0846,Vihaan Verma,Social Media,No,39,Jaipur,Freelancer,Data Science - Beginner,3,1
L0847,Krishna Chopra,Walk-in,Yes,45,Bangalore,Working Professional,Data Science - Advanced,5,1
L0848,Aarohi Iyer,Social Media,No,67,Jaipur,Student,Machine Learning,3,0
L0849,Arjun Das,Referral,Yes,12,Nagpur,Working Professional,Data Science - Advanced,3,0
L0850,Saanvi Patel,Email,No,76,Ahmedabad,Freelancer,AI & Deep Learning,2,1
L0851,Isha Pillai,Referral,No,21,Pune,Freelancer,Data Science - Advanced,3,1
L0852,Arjun Kulkarni,Walk-in,Yes,89,Delhi,Working Professional,AI & Deep Learning,0,0
L0853,Meera Joshi,Social Media,No,15,Mumbai,Working Professional,Machine Learning,0,0
L0854,Vihaan Joshi,Email,No,39,Bangalore,Working Professional,Data Science - Beginner,1,0
L0855,Shruti Das,Social Media,No,37,Delhi,Student,AI & Deep Learning,0,0
L0856,Meera Joshi,Social Media,Yes,54,Kolkata,Freelancer,Machine Learning,4,1
L0857,Ananya Naidu,Referral,Yes,98,Pune,Freelancer,AI & Deep Learning,3,1
L0858,Arjun Choudhary,Social Media,No,50,Delhi,Working Professional,Machine Learning,4,0
L0859,Saanvi Khan,Social Media,Yes,91,Nagpur,Freelancer,Machine Learning,4,0
L0860,Meera Patel,Website,Yes,73,Ahmedabad,Student,AI & Deep Learning,4,0
L0861,Vihaan Shetty,Website,Yes,36,Delhi,Student,AI & Deep Learning,0,1
L0862,Aanya Chopra,Social Media,No,3,Hyderabad,Working Professional,Data Science - Advanced,3,0
L0863,Aarohi Choudhary,Referral,No,12,Mumbai,Student,Data Science - Advanced,2,0
L0864,Sai Khan,Social Media,Yes,40,Chennai,Freelancer,Data Science - Advanced,0,1
L0865,Sai Sharma,Social Media,No,50,Mumbai,Working Professional,Data Science - Advanced,3,1
L0866,Rohan Naidu,Social Media,Yes,26,Delhi,Freelancer,Data Science - Advanced,3,1
L0867,Vihaan Khan,Social Media,No,60,Ahmedabad,Working Professional,Data Science - Beginner,3,0
L0868,Isha Iyer,Social Media,No,71,Jaipur,Freelancer,Data Science - Beginner,1,0
L0869,Kunal Chopra,Referral,No,11,Ahmedabad,Student,Data Science - Advanced,2,0
L0870,Krishna Shetty,Referral,No,6,Nagpur,Working Professional,Machine Learning,5,0
L0871,Aarav Verma,Referral,No,77,Bangalore,Freelancer,AI & Deep Learning,2,0
L0872,Shruti Kulkarni,Email,Yes,21,Ahmedabad,Freelancer,Data Science - Beginner,2,0
L0873,Aanya Reddy,Website,No,56,Delhi,Freelancer,Machine Learning,5,1
L0874,Rohan Pillai,Email,Yes,85,Hyderabad,Working Professional,Data Science - Advanced,3,1
L0875,Aarav Gupta,Social Media,No,1,Nagpur,Freelancer,Data Science - Advanced,3,1
L0876,Aanya Shetty,Social Media,Yes,69,Nagpur,Freelancer,AI & Deep Learning,5,0
L0877,Diya Naidu,Walk-in,No,50,Pune,Freelancer,Data Science - Beginner,0,1
L0878,Diya Mehta,Referral,Yes,29,Nagpur,Working Professional,Machine Learning,1,0
L0879,Kavya Singh,Website,Yes,64,Hyderabad,Student,Machine Learning,3,0
L0880,Aarav Mehta,Referral,Yes,36,Jaipur,Freelancer,AI & Deep Learning,1,0
L0881,Shruti Nair,Walk-in,Yes,9,Jaipur,Student,Data Science - Beginner,1,1
L0882,Shruti Iyer,Walk-in,No,25,Nagpur,Freelancer,Machine Learning,5,1
L0883,Aarav Das,Social Media,No,56,Chennai,Working Professional,Data Science - Beginner,5,1
L0884,Riya Joshi,Walk-in,Yes,93,Delhi,Student,Machine Learning,3,1
L0885,Ananya Sharma,Referral,Yes,43,Mumbai,Freelancer,Data Science - Beginner,5,0
L0886,Isha Patel,Website,Yes,22,Hyderabad,Working Professional,Data Science - Beginner,5,0
L0887,Aarav Saxena,Referral,Yes,76,Hyderabad,Working Professional,Data Science - Advanced,0,1
L0888,Krishna Choudhary,Social Media,No,67,Delhi,Student,AI & Deep Learning,0,1
L0889,Shruti Reddy,Social Media,Yes,5,Chennai,Working Professional,Data Science - Beginner,1,0
L0890,Saanvi Verma,Email,No,9,Mumbai,Freelancer,Data Science - Beginner,4,0
L0891,Kunal Naidu,Referral,Yes,80,Chennai,Student,Data Science - Beginner,3,1
L0892,Saanvi Das,Walk-in,Yes,44,Nagpur,Working Professional,Machine Learning,4,0
L0893,Vihaan Reddy,Social Media,Yes,76,Delhi,Freelancer,Data Science - Advanced,5,1
L0894,Diya Das,Referral,No,24,Delhi,Student,Data Science - Beginner,0,0
L0895,Kunal Chopra,Referral,No,40,Jaipur,Freelancer,Data Science - Advanced,1,1
L0896,Kunal Nair,Email,No,48,Nagpur,Freelancer,Data Science - Advanced,0,0
L0897,Aarohi Shetty,Social Media,No,45,Delhi,Student,Data Science - Advanced,0,1
L0898,Ishaan Saxena,Referral,No,75,Jaipur,Working Professional,Machine Learning,3,1
L0899,Sai Reddy,Referral,Yes,64,Delhi,Student,Data Science - Advanced,5,0
L0900,Saanvi Nair,Website,Yes,62,Hyderabad,Freelancer,AI & Deep Learning,1,1
L0901,Sai Sharma,Email,Yes,10,Hyderabad,Student,Data Science - Beginner,1,1
L0902,Saanvi Mehta,Walk-in,No,6,Nagpur,Student,Data Science - Advanced,2,0
L0903,Krishna Khan,Website,No,71,Delhi,Student,Data Science - Advanced,0,0
L0904,Rohan Reddy,Social Media,Yes,49,Mumbai,Working Professional,Data Science - Advanced,2,1
L0905,Krishna Joshi,Email,Yes,68,Jaipur,Working Professional,Data Science - Beginner,0,0
L0906,Arjun Mehta,Website,No,89,Hyderabad,Working Professional,AI & Deep Learning,5,0
L0907,Vivaan Nair,Walk-in,Yes,69,Bangalore,Student,Machine Learning,1,0
L0908,Rohan Gupta,Walk-in,No,27,Mumbai,Working Professional,Data Science - Beginner,1,1
L0909,Aarohi Joshi,Referral,No,23,Hyderabad,Freelancer,Machine Learning,4,1
L0910,Riya Saxena,Email,No,82,Jaipur,Freelancer,Data Science - Beginner,1,0
L0911,Ishaan Pillai,Website,No,28,Bangalore,Working Professional,AI & Deep Learning,4,0
L0912,Diya Khan,Walk-in,Yes,18,Mumbai,Working Professional,AI & Deep Learning,4,1
L0913,Krishna Chopra,Social Media,No,66,Jaipur,Working Professional,AI & Deep Learning,3,1
L0914,Isha Das,Email,No,41,Bangalore,Working Professional,Data Science - Beginner,1,1
L0915,Krishna Khan,Social Media,No,11,Bangalore,Freelancer,Data Science - Beginner,2,0
L0916,Vihaan Reddy,Social Media,No,5,Ahmedabad,Student,Machine Learning,1,1
L0917,Rohan Singh,Email,Yes,91,Jaipur,Student,Machine Learning,0,1
L0918,Kunal Joshi,Referral,No,75,Nagpur,Working Professional,Data Science - Advanced,3,0
L0919,Krishna Mehta,Referral,Yes,67,Jaipur,Freelancer,AI & Deep Learning,5,1
L0920,Ananya Patel,Email,Yes,55,Chennai,Student,AI & Deep Learning,3,0
L0921,Diya Gupta,Walk-in,Yes,40,Nagpur,Working Professional,Machine Learning,2,0
L0922,Isha Das,Referral,No,42,Jaipur,Student,Data Science - Beginner,1,0
L0923,Ananya Chopra,Walk-in,No,49,Delhi,Working Professional,Data Science - Beginner,4,1
L0924,Ishaan Saxena,Social Media,No,73,Kolkata,Freelancer,Machine Learning,0,0
L0925,Vihaan Shetty,Website,Yes,89,Jaipur,Working Professional,Data Science - Beginner,1,0
L0926,Aditya Naidu,Email,Yes,30,Bangalore,Freelancer,Data Science - Beginner,3,0
L0927,Diya Kulkarni,Social Media,Yes,42,Chennai,Working Professional,Data Science - Advanced,0,0
L0928,Meera Das,Referral,Yes,50,Delhi,Student,Data Science - Advanced,2,1
L0929,Riya Bansal,Walk-in,No,76,Delhi,Freelancer,AI & Deep Learning,2,0
L0930,Aarav Gupta,Referral,Yes,52,Jaipur,Student,Machine Learning,4,1
L0931,Saanvi Pillai,Walk-in,Yes,95,Mumbai,Working Professional,AI & Deep Learning,2,1
L0932,Aanya Nair,Website,No,32,Pune,Freelancer,AI & Deep Learning,3,1
L0933,Sai Chopra,Social Media,No,90,Nagpur,Student,Data Science - Advanced,2,1
L0934,Aditya Mehta,Referral,No,98,Ahmedabad,Student,Machine Learning,0,0
L0935,Aarohi Choudhary,Referral,No,22,Bangalore,Student,Data Science - Beginner,3,0
L0936,Aditya Pillai,Referral,No,96,Chennai,Student,AI & Deep Learning,0,0
L0937,Rohan Reddy,Website,No,86,Kolkata,Working Professional,AI & Deep Learning,0,0
L0938,Meera Iyer,Referral,Yes,61,Bangalore,Student,Data Science - Advanced,0,0
L0939,Sai Singh,Social Media,No,22,Mumbai,Freelancer,Data Science - Beginner,5,1
L0940,Arjun Pillai,Email,Yes,28,Nagpur,Freelancer,Data Science - Advanced,3,0
L0941,Aarohi Reddy,Referral,No,57,Nagpur,Freelancer,Data Science - Beginner,0,1
L0942,Ishaan Iyer,Email,Yes,26,Mumbai,Student,AI & Deep Learning,0,0
L0943,Ananya Mehta,Social Media,Yes,13,Pune,Freelancer,Data Science - Advanced,0,1
L0944,Aarohi Reddy,Email,No,72,Delhi,Freelancer,Data Science - Advanced,4,1
L0945,Isha Reddy,Website,Yes,14,Hyderabad,Working Professional,Data Science - Advanced,0,1
L0946,Ananya Sharma,Referral,Yes,59,Delhi,Student,Machine Learning,5,1
L0947,Vivaan Patel,Website,No,39,Jaipur,Working Professional,Data Science - Beginner,5,0
L0948,Rohan Reddy,Walk-in,No,81,Chennai,Freelancer,Data Science - Advanced,2,0
L0949,Ananya Saxena,Social Media,No,3,Jaipur,Freelancer,AI & Deep Learning,3,0
L0950,Aarohi Chopra,Social Media,Yes,3,Jaipur,Student,Machine Learning,1,1
L0951,Krishna Nair,Social Media,Yes,18,Hyderabad,Working Professional,Machine Learning,1,0
L0952,Aanya Mehta,Social Media,Yes,93,Jaipur,Working Professional,Machine Learning,1,1
L0953,Ananya Verma,Walk-in,No,83,Bangalore,Student,Data Science - Advanced,5,1
L0954,Ananya Iyer,Website,Yes,86,Delhi,Freelancer,Data Science - Advanced,4,1
L0955,Aarohi Choudhary,Website,No,81,Nagpur,Student,AI & Deep Learning,0,0
L0956,Vivaan Gupta,Website,Yes,12,Pune,Freelancer,Data Science - Advanced,1,0
L0957,Isha Pillai,Email,Yes,93,Delhi,Student,AI & Deep Learning,1,0
L0958,Kunal Singh,Walk-in,No,82,Delhi,Working Professional,AI & Deep Learning,0,1
L0959,Aanya Naidu,Website,No,57,Chennai,Freelancer,AI & Deep Learning,1,1
L0960,Aarav Naidu,Referral,Yes,98,Bangalore,Freelancer,Data Science - Advanced,4,0
L0961,Rohan Naidu,Referral,No,59,Bangalore,Working Professional,AI & Deep Learning,0,1
L0962,Arjun Saxena,Website,Yes,25,Nagpur,Student,Machine Learning,3,1
L0963,Isha Naidu,Email,No,63,Bangalore,Freelancer,Data Science - Beginner,3,0
L0964,Vihaan Naidu,Walk-in,Yes,25,Chennai,Working Professional,Machine Learning,4,1
L0965,Diya Verma,Referral,No,95,Delhi,Student,AI & Deep Learning,0,1
L0966,Aarav Gupta,Email,No,88,Pune,Working Professional,Data Science - Advanced,4,0
L0967,Aarav Reddy,Social Media,No,51,Jaipur,Student,Data Science - Advanced,3,0
L0968,Isha Khan,Email,No,76,Bangalore,Freelancer,AI & Deep Learning,5,0
L0969,Vihaan Chopra,Email,Yes,35,Delhi,Freelancer,AI & Deep Learning,5,1
L0970,Aarav Bansal,Referral,Yes,13,Mumbai,Freelancer,AI & Deep Learning,4,1
L0971,Kunal Das,Website,Yes,48,Pune,Freelancer,Data Science - Advanced,1,1
L0972,Sai Kulkarni,Social Media,No,73,Delhi,Student,Data Science - Advanced,0,0
L0973,Ishaan Khan,Referral,No,81,Jaipur,Student,Data Science - Advanced,0,1
L0974,Aditya Naidu,Social Media,No,9,Hyderabad,Student,Data Science - Advanced,3,1
L0975,Vihaan Sharma,Social Media,No,97,Nagpur,Freelancer,Data Science - Beginner,0,0
L0976,Aarohi Sharma,Referral,No,63,Kolkata,Working Professional,AI & Deep Learning,2,1
L0977,Ananya Choudhary,Website,No,86,Chennai,Working Professional,Data Science - Beginner,2,1
L0978,Vihaan Sharma,Referral,No,93,Pune,Student,Data Science - Beginner,4,1
L0979,Krishna Joshi,Referral,No,66,Chennai,Freelancer,Data Science - Advanced,0,1
L0980,Aarav Joshi,Social Media,No,87,Kolkata,Student,AI & Deep Learning,3,0
L0981,Diya Das,Referral,Yes,94,Chennai,Working Professional,Data Science - Advanced,5,0
L0982,Aarohi Chopra,Walk-in,Yes,17,Kolkata,Student,Machine Learning,5,1
L0983,Sai Pillai,Social Media,No,85,Ahmedabad,Student,Data Science - Advanced,1,0
L0984,Aditya Reddy,Referral,Yes,21,Hyderabad,Working Professional,Machine Learning,1,1
L0985,Riya Reddy,Website,No,12,Hyderabad,Student,Data Science - Beginner,5,1
L0986,Aanya Naidu,Walk-in,No,30,Delhi,Working Professional,Data Science - Beginner,2,0
L0987,Vihaan Patel,Email,Yes,96,Mumbai,Freelancer,Machine Learning,1,1
L0988,Aanya Chopra,Social Media,No,8,Jaipur,Freelancer,Data Science - Advanced,3,1
L0989,Ananya Joshi,Website,Yes,14,Chennai,Student,AI & Deep Learning,2,0
L0990,Kunal Iyer,Referral,No,19,Jaipur,Working Professional,Data Science - Advanced,5,0
L0991,Kavya Choudhary,Email,Yes,36,Jaipur,Working Professional,Data Science - Advanced,3,1
L0992,Aanya Verma,Email,Yes,92,Delhi,Freelancer,Data Science - Advanced,5,0
L0993,Sai Saxena,Referral,No,85,Pune,Student,AI & Deep Learning,2,1
L0994,Riya Joshi,Referral,No,10,Ahmedabad,Freelancer,Machine Learning,2,0
L0995,Meera Naidu,Social Media,Yes,42,Jaipur,Student,Machine Learning,3,0
L0996,Shruti Gupta,Referral,No,38,Pune,Student,Data Science - Advanced,5,0
L0997,Aarav Joshi,Walk-in,Yes,87,Pune,Working Professional,AI & Deep Learning,5,0
L0998,Vivaan Reddy,Email,No,23,Nagpur,Student,Machine Learning,4,1
L0999,Arjun Naidu,Website,Yes,16,Delhi,Working Professional,AI & Deep Learning,2,0
L1000,Aanya Patel,Referral,No,36,Kolkata,Working Professional,Data Science - Beginner,0,0
L1001,Aditya Reddy,Referral,Yes,3,Jaipur,Freelancer,AI & Deep Learning,2,0
L1002,Shruti Bansal,Referral,No,83,Chennai,Working Professional,Data Science - Advanced,0,1
L1003,Aditya Shetty,Website,No,90,Nagpur,Working Professional,AI & Deep Learning,0,0
L1004,Ishaan Reddy,Website,Yes,1,Ahmedabad,Working Professional,Machine Learning,0,0
L1005,Arjun Chopra,Website,Yes,12,Ahmedabad,Working Professional,Data Science - Beginner,0,0
L1006,Aarohi Singh,Email,Yes,55,Nagpur,Student,Machine Learning,0,1
L1007,Meera Pillai,Website,No,89,Hyderabad,Freelancer,Machine Learning,4,0
L1008,Vihaan Verma,Website,Yes,25,Pune,Working Professional,Data Science - Advanced,1,0
L1009,Shruti Joshi,Email,Yes,94,Jaipur,Working Professional,Data Science - Beginner,4,1
L1010,Rohan Naidu,Website,No,59,Mumbai,Working Professional,AI & Deep Learning,5,0
L1011,Meera Mehta,Social Media,No,82,Delhi,Freelancer,Machine Learning,4,0
L1012,Isha Gupta,Email,No,49,Nagpur,Freelancer,Data Science - Advanced,0,1
L1013,Vihaan Shetty,Social Media,No,9,Hyderabad,Freelancer,Data Science - Beginner,2,1
L1014,Rohan Gupta,Website,No,2,Mumbai,Working Professional,Data Science - Advanced,3,0
L1015,Vihaan Bansal,Walk-in,No,76,Kolkata,Student,Machine Learning,5,1
L1016,Meera Khan,Walk-in,Yes,7,Pune,Working Professional,AI & Deep Learning,1,1
L1017,Meera Shetty,Walk-in,No,62,Jaipur,Student,Machine Learning,0,0
L1018,Arjun Gupta,Referral,No,7,Hyderabad,Freelancer,Data Science - Advanced,5,1
L1019,Saanvi Bansal,Referral,No,60,Ahmedabad,Working Professional,Machine Learning,3,0
L1020,Kunal Patel,Email,No,99,Hyderabad,Student,Data Science - Beginner,0,0
L1021,Aditya Bansal,Walk-in,Yes,11,Bangalore,Freelancer,AI & Deep Learning,0,1
L1022,Aarohi Gupta,Referral,No,66,Ahmedabad,Freelancer,Data Science - Beginner,3,0
L1023,Kavya Mehta,Social Media,No,90,Ahmedabad,Freelancer,Machine Learning,1,0
L1024,Kavya Pillai,Website,Yes,23,Mumbai,Working Professional,Data Science - Advanced,4,1
L1025,Vivaan Das,Referral,No,22,Hyderabad,Student,Machine Learning,5,0
L1026,Meera Reddy,Email,No,62,Bangalore,Working Professional,Data Science - Advanced,0,1
L1027,Ishaan Singh,Walk-in,Yes,60,Jaipur,Working Professional,Data Science - Beginner,2,0
L1028,Kavya Pillai,Email,No,46,Mumbai,Student,Machine Learning,5,0
L1029,Aanya Joshi,Social Media,Yes,56,Kolkata,Student,Data Science - Beginner,4,0
L1030,Isha Reddy,Referral,Yes,20,Bangalore,Student,AI & Deep Learning,3,1
L1031,Kunal Joshi,Referral,Yes,69,Bangalore,Student,AI & Deep Learning,5,1
L1032,Sai Gupta,Email,No,1,Hyderabad,Freelancer,Data Science - Advanced,0,0
L1033,Kunal Verma,Website,No,54,Hyderabad,Student,Data Science - Advanced,5,0
L1034,Riya Khan,Social Media,No,63,Ahmedabad,Working Professional,Data Science - Advanced,2,1
L1035,Aarohi Naidu,Website,Yes,14,Nagpur,Student,Data Science - Advanced,2,0
L1036,Krishna Verma,Email,No,77,Nagpur,Working Professional,AI & Deep Learning,2,1
L1037,Riya Patel,Referral,Yes,80,Pune,Freelancer,Data Science - Advanced,1,1
L1038,Vihaan Khan,Website,No,26,Kolkata,Freelancer,Data Science - Beginner,5,0
L1039,Ishaan Chopra,Website,Yes,16,Pune,Working Professional,Data Science - Beginner,2,0
L1040,Arjun Das,Social Media,Yes,12,Nagpur,Working Professional,AI & Deep Learning,4,1
L1041,Krishna Iyer,Email,No,62,Nagpur,Freelancer,AI & Deep Learning,5,0
L1042,Kunal Reddy,Email,No,36,Hyderabad,Freelancer,AI & Deep Learning,1,1
L1043,Vivaan Bansal,Social Media,Yes,7,Hyderabad,Student,Machine Learning,3,1
L1044,Kavya Reddy,Referral,Yes,33,Kolkata,Working Professional,Machine Learning,2,0
L1045,Vihaan Sharma,Walk-in,Yes,43,Hyderabad,Freelancer,Machine Learning,5,1
L1046,Krishna Khan,Website,No,12,Mumbai,Student,Data Science - Beginner,0,0
L1047,Ishaan Pillai,Social Media,Yes,70,Jaipur,Working Professional,Machine Learning,5,1
L1048,Ishaan Shetty,Website,Yes,17,Delhi,Working Professional,Machine Learning,4,1
L1049,Diya Pillai,Social Media,No,9,Kolkata,Working Professional,Data Science - Beginner,1,1
L1050,Arjun Singh,Social Media,Yes,89,Delhi,Freelancer,AI & Deep Learning,3,0
L1051,Sai Pillai,Walk-in,No,72,Chennai,Working Professional,Machine Learning,1,0
L1052,Aarav Bansal,Walk-in,Yes,76,Nagpur,Freelancer,AI & Deep Learning,4,1
L1053,Kunal Iyer,Email,No,71,Mumbai,Student,Data Science - Advanced,0,0
L1054,Kunal Verma,Website,No,18,Bangalore,Student,Data Science - Advanced,1,0
L1055,Aarav Joshi,Walk-in,No,42,Mumbai,Freelancer,Machine Learning,5,0
L1056,Isha Nair,Email,No,8,Nagpur,Working Professional,Data Science - Advanced,5,1
L1057,Sai Khan,Social Media,Yes,93,Chennai,Freelancer,Machine Learning,5,0
L1058,Saanvi Iyer,Email,No,27,Jaipur,Freelancer,AI & Deep Learning,1,1
L1059,Krishna Das,Email,Yes,62,Mumbai,Working Professional,Data Science - Advanced,3,0
L1060,Sai Mehta,Walk-in,No,94,Pune,Freelancer,Machine Learning,0,1
L1061,Sai Bansal,Referral,Yes,9,Pune,Student,AI & Deep Learning,1,1
L1062,Aanya Reddy,Walk-in,Yes,94,Nagpur,Freelancer,Data Science - Beginner,3,1
L1063,Aarav Reddy,Social Media,Yes,17,Delhi,Student,Machine Learning,1,0
L1064,Aarav Reddy,Walk-in,No,91,Mumbai,Student,Data Science - Advanced,3,1
L1065,Sai Singh,Email,No,20,Delhi,Student,Machine Learning,5,0
L1066,Aarav Verma,Social Media,No,14,Ahmedabad,Working Professional,Data Science - Advanced,0,0
L1067,Aarav Iyer,Referral,No,19,Hyderabad,Freelancer,Machine Learning,1,1
L1068,Vihaan Saxena,Website,Yes,29,Mumbai,Working Professional,Machine Learning,0,1
L1069,Vihaan Joshi,Social Media,Yes,78,Pune,Student,AI & Deep Learning,4,1
L1070,Kavya Bansal,Referral,Yes,86,Bangalore,Freelancer,Machine Learning,2,0
L1071,Rohan Saxena,Email,No,92,Mumbai,Student,Data Science - Advanced,5,0
L1072,Ananya Gupta,Referral,No,93,Kolkata,Student,Data Science - Beginner,4,1
L1073,Rohan Gupta,Social Media,No,17,Pune,Working Professional,Machine Learning,2,1
L1074,Isha Saxena,Referral,No,18,Delhi,Working Professional,AI & Deep Learning,4,1
L1075,Meera Shetty,Referral,Yes,50,Mumbai,Freelancer,AI & Deep Learning,4,0
L1076,Aditya Iyer,Email,Yes,27,Nagpur,Working Professional,AI & Deep Learning,1,0
L1077,Vivaan Joshi,Email,Yes,38,Kolkata,Student,AI & Deep Learning,1,0
L1078,Krishna Verma,Website,Yes,90,Pune,Working Professional,Data Science - Beginner,5,1
L1079,Diya Verma,Social Media,Yes,62,Jaipur,Student,Data Science - Beginner,1,1
L1080,Arjun Patel,Website,Yes,2,Jaipur,Working Professional,Data Science - Advanced,1,1
L1081,Arjun Kulkarni,Email,No,53,Hyderabad,Working Professional,Data Science - Beginner,2,0
L1082,Arjun Verma,Social Media,Yes,65,Pune,Student,AI & Deep Learning,3,1
L1083,Meera Khan,Walk-in,No,91,Delhi,Working Professional,Data Science - Advanced,2,0
L1084,Aarohi Naidu,Website,Yes,52,Jaipur,Student,Data Science - Advanced,3,0
L1085,Meera Nair,Social Media,No,62,Hyderabad,Freelancer,AI & Deep Learning,3,0
L1086,Vivaan Joshi,Referral,Yes,35,Mumbai,Student,Data Science - Beginner,2,1
L1087,Aarav Iyer,Email,Yes,70,Mumbai,Student,Data Science - Advanced,4,0
L1088,Kunal Mehta,Walk-in,Yes,82,Nagpur,Student,Machine Learning,0,0
L1089,Shruti Saxena,Social Media,Yes,41,Mumbai,Working Professional,Data Science - Beginner,2,1
L1090,Aanya Kulkarni,Website,No,97,Chennai,Freelancer,Machine Learning,1,0
